T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
19.1,28.1,14.6,1016.4,76.0,1.9,16.1,31.7,119.33333333333331
17.6,23.4,10.5,1014.4,63.0,3.1,16.7,35.2,67.125
17.6,24.0,11.4,1011.2,63.0,3.2,9.4,18.3,46.708333333333336
16.2,23.8,9.2,1010.9,74.0,1.9,3.7,11.1,69.66666666666667
15.3,25.4,10.3,1011.2,80.0,1.9,5.6,14.8,79.83333333333333
14.3,21.0,9.5,1012.2,81.0,1.9,3.9,11.1,62.708333333333336
14.1,21.0,6.8,1015.8,74.0,2.3,7.8,25.9,81.04166666666667
16.3,23.4,6.8,1015.7,66.0,1.9,4.4,14.8,21.20833333333333
15.2,24.1,12.8,1016.3,91.0,1.1,5.4,14.8,1.9166666666666667
17.1,22.4,12.8,1011.8,87.0,1.9,3.7,11.1,1.8333333333333333
19.7,24.0,11.2,1009.9,71.0,1.9,7.4,14.8,1.7916666666666667
18.4,23.9,12.0,1011.3,66.0,2.1,8.9,18.3,31.625
18.2,24.0,11.0,1011.8,62.0,2.6,7.2,18.3,112.08333333333331
19.5,26.0,9.0,1012.0,55.0,2.7,5.7,16.5,105.83333333333331
20.4,26.5,10.8,1013.4,60.0,2.7,5.0,14.8,117.58333333333331
20.6,26.5,12.6,1014.1,59.0,3.4,7.8,14.8,122.70833333333331
19.6,27.0,10.8,1014.2,57.0,3.4,5.6,14.8,76.54166666666667
22.8,28.0,12.4,1014.0,59.0,3.4,12.0,24.1,159.08333333333334
22.1,28.4,12.8,1015.0,54.0,2.9,5.0,13.0,147.95833333333334
18.6,25.0,11.8,1016.7,71.0,2.6,7.6,18.3,59.208333333333336
20.2,26.0,10.4,1017.7,64.0,2.7,6.9,11.1,77.20833333333333
21.6,26.0,12.5,1016.4,59.0,2.7,6.1,14.8,87.83333333333333
22.1,28.0,13.8,1014.2,58.0,2.7,7.0,14.8,90.04166666666667
21.8,28.6,12.0,1012.8,60.0,2.6,4.3,11.1,63.91666666666666
24.1,31.0,12.8,1009.6,58.0,2.6,3.3,7.6,98.70833333333331
26.9,34.0,15.5,1009.2,51.0,2.9,5.0,14.8,123.70833333333331
25.6,34.1,16.6,1012.3,44.0,2.7,3.7,7.6,64.79166666666667
23.9,31.6,15.5,1014.1,44.0,3.2,10.7,25.9,62.875
25.1,32.0,15.4,1010.9,49.0,3.2,8.9,14.8,77.66666666666667
24.4,32.1,17.6,1012.0,55.0,3.5,8.9,14.8,52.333333333333336
24.2,30.4,16.2,1013.7,57.0,3.2,10.7,24.1,52.04166666666666
25.1,31.4,15.0,1013.3,53.0,3.5,10.7,25.9,128.33333333333334
27.1,35.0,16.2,1010.4,53.0,2.9,4.3,9.4,87.58333333333333
29.4,37.0,18.6,1007.4,48.0,3.4,4.6,14.8,2.9166666666666665
31.4,39.0,20.2,1007.8,45.0,2.9,8.0,18.3,0.0
28.8,39.2,21.0,1007.6,35.0,3.7,12.6,27.8,0.0
27.7,34.3,17.6,1008.5,41.0,3.9,12.4,22.2,23.20833333333333
27.6,35.0,16.2,1008.8,42.0,3.9,5.0,14.8,15.166666666666666
29.2,37.0,17.6,1008.1,41.0,3.5,9.1,18.3,21.25
30.1,38.0,18.7,1007.2,47.0,3.9,5.0,14.8,25.75
28.7,39.0,20.0,1006.6,53.0,2.9,6.3,25.9,52.41666666666666
33.6,39.3,22.4,1005.6,39.0,3.7,6.7,14.8,89.0
30.8,37.8,22.4,1006.2,57.0,1.8,10.7,35.2,81.83333333333333
29.4,36.0,20.2,1006.5,52.0,2.6,5.9,18.3,105.33333333333331
30.2,37.0,20.4,1005.5,48.0,3.2,4.6,11.1,117.75
32.1,39.0,20.0,1007.2,41.0,3.7,7.6,16.5,20.791666666666668
32.6,39.0,23.0,1006.4,38.0,3.7,5.7,14.8,64.79166666666667
30.6,38.7,23.2,1006.9,48.0,3.9,7.4,18.3,87.375
31.4,38.0,21.6,1007.8,42.0,3.7,12.8,25.9,84.5
32.2,38.0,21.8,1006.8,40.0,4.5,9.8,14.8,46.91666666666666
33.6,40.0,25.5,1006.0,36.0,3.7,9.4,18.3,104.625
26.0,40.0,20.5,1009.7,63.0,2.9,11.3,22.2,109.625
24.3,30.7,19.0,1012.2,66.0,2.4,12.2,27.8,63.458333333333336
25.8,31.0,17.1,1010.4,56.0,3.7,7.8,16.5,77.04166666666667
27.5,32.0,18.2,1007.9,50.0,3.7,9.4,14.8,110.875
29.2,35.0,19.8,1005.2,46.0,3.4,5.7,14.8,42.958333333333336
31.1,37.2,20.6,1004.0,41.0,3.5,9.3,20.6,0.0
32.2,38.0,22.0,1004.0,45.0,2.9,5.0,16.5,30.875
33.8,40.0,22.2,1005.5,40.0,3.4,7.4,13.0,75.58333333333333
34.3,42.1,24.2,1005.0,36.0,2.9,7.8,29.4,79.91666666666667
34.8,41.0,25.4,1003.3,26.0,2.9,11.7,22.2,0.0
34.8,42.0,23.4,1001.8,30.0,3.1,8.7,18.3,0.0
34.4,43.7,24.4,999.7,39.0,2.6,5.4,13.0,94.75
33.5,41.3,25.8,1002.9,45.0,2.7,11.9,25.9,142.5
32.1,39.5,22.4,1005.8,37.0,3.4,9.4,25.9,102.41666666666669
32.6,40.0,19.8,1005.1,34.0,3.1,10.6,18.3,101.75
33.8,41.0,22.4,1002.8,35.0,3.2,10.2,22.2,117.95833333333331
33.5,41.2,21.8,1001.9,40.0,2.6,10.7,25.9,147.83333333333334
35.3,42.0,23.6,1001.2,38.0,2.7,11.5,24.1,158.29166666666666
36.1,42.0,26.4,1000.6,38.0,2.6,13.7,25.9,149.58333333333334
35.4,41.8,27.4,1002.2,40.0,3.1,12.6,20.6,107.29166666666669
33.9,41.2,24.4,1004.2,47.0,2.9,9.1,16.5,96.25
33.4,38.8,25.2,1003.5,49.0,1.8,10.6,24.1,76.25
33.3,40.0,25.4,1003.9,52.0,1.9,8.9,31.7,101.5
30.8,40.2,20.8,1003.9,60.0,3.1,5.6,14.8,106.5
29.4,36.0,23.0,1004.5,72.0,2.3,8.0,18.3,128.125
34.0,40.0,22.8,1005.6,35.0,2.9,10.2,20.6,98.41666666666669
35.3,41.0,25.2,1004.1,34.0,3.1,7.8,14.8,94.375
33.4,41.0,26.4,1002.5,44.0,3.1,7.6,18.3,118.5
33.7,40.0,25.0,1002.4,45.0,2.6,8.0,27.8,89.54166666666667
29.8,40.4,23.8,1003.8,60.0,3.2,11.1,25.9,87.25
32.5,37.0,24.5,1002.6,41.0,3.7,11.5,25.9,107.625
35.1,42.0,25.4,1001.5,29.0,3.4,10.2,20.6,95.83333333333331
34.6,42.0,23.0,1000.4,27.0,3.7,13.1,27.8,93.5
36.6,43.0,24.6,998.9,30.0,4.0,9.1,18.3,97.625
37.6,44.8,27.6,998.3,40.0,3.1,7.8,13.0,38.66666666666666
37.3,43.5,30.8,998.4,44.0,2.7,9.4,18.3,45.375
35.9,42.5,29.4,998.8,47.0,2.7,11.9,18.3,65.16666666666667
36.7,41.0,28.7,999.3,45.0,2.7,9.3,16.5,67.08333333333333
37.5,42.2,29.8,998.0,42.0,2.9,6.9,13.0,80.04166666666667
37.7,44.0,28.6,1000.7,34.0,3.2,7.8,16.5,74.16666666666667
35.0,43.9,26.4,1001.9,46.0,3.4,7.0,11.1,66.08333333333333
37.9,43.0,28.0,1000.5,36.0,3.1,6.7,16.5,77.66666666666667
37.4,44.0,27.2,996.8,34.0,2.7,5.6,18.3,70.25
39.2,45.0,27.4,995.0,25.0,2.9,6.7,14.8,75.125
38.6,45.6,30.4,995.5,28.0,2.1,9.6,25.9,37.16666666666666
36.0,44.5,30.0,998.9,42.0,2.7,10.9,18.3,57.375
37.0,41.6,29.0,997.8,38.0,3.2,9.8,18.3,56.29166666666666
37.6,44.0,29.2,997.1,29.0,3.4,11.3,24.1,77.0
37.9,43.7,27.8,997.7,28.0,2.9,14.4,37.0,32.958333333333336
31.5,43.4,28.0,998.7,55.0,3.1,14.1,22.2,40.833333333333336
28.6,35.0,20.6,999.8,59.0,3.4,12.4,22.2,93.08333333333331
32.2,37.0,24.2,1000.3,53.0,2.9,6.1,11.1,80.625
33.5,39.0,25.4,1000.9,50.0,3.5,6.7,13.0,90.70833333333331
35.1,39.0,28.2,1000.1,50.0,3.1,5.7,14.8,97.29166666666669
35.6,40.0,27.2,999.3,46.0,3.7,8.3,14.8,79.83333333333333
35.3,40.3,28.6,1001.2,53.0,3.4,8.1,18.3,87.75
32.1,40.5,27.4,1002.0,65.0,3.1,10.4,20.6,63.5
35.8,41.0,29.6,997.5,52.0,2.7,6.7,18.3,40.375
35.3,41.1,28.6,996.1,49.0,2.4,8.0,18.3,49.41666666666666
35.8,41.2,27.2,994.9,42.0,3.1,9.8,18.3,43.66666666666666
38.1,42.0,30.0,994.0,38.0,3.4,11.7,22.2,52.16666666666666
37.9,42.3,32.0,995.4,37.0,2.7,13.7,27.8,49.583333333333336
36.8,42.2,30.6,996.3,45.0,3.1,7.6,14.8,61.875
34.9,41.6,30.0,996.8,53.0,2.6,6.5,11.1,0.0
34.9,38.4,30.6,997.5,58.0,1.9,8.1,11.1,29.666666666666668
30.9,39.4,28.6,996.8,75.0,1.9,8.5,18.3,47.75
28.8,38.6,26.9,994.9,86.0,1.6,4.8,14.8,37.708333333333336
33.4,37.0,26.5,994.5,64.0,2.7,7.8,14.8,33.083333333333336
33.7,37.0,28.6,994.1,65.0,2.7,6.7,14.8,43.66666666666666
31.6,36.7,28.8,995.0,70.0,2.7,9.6,18.3,29.83333333333333
33.9,37.0,28.2,993.2,62.0,2.4,9.4,20.6,29.666666666666668
35.4,39.0,31.0,994.4,56.0,2.3,14.1,27.8,56.708333333333336
34.9,39.2,30.6,996.6,55.0,2.1,11.7,24.1,39.25
35.6,40.0,31.2,996.7,53.0,2.6,13.7,27.8,35.208333333333336
34.3,39.6,28.4,995.8,58.0,2.7,11.3,20.6,37.625
29.1,37.7,24.0,997.1,79.0,2.4,7.6,27.8,41.458333333333336
29.2,34.7,24.0,1000.2,80.0,2.6,8.5,14.8,53.125
27.0,33.4,24.0,1000.6,85.0,2.4,5.9,9.4,54.875
27.0,31.7,23.5,1000.6,87.0,2.4,4.6,9.4,65.75
31.9,36.0,25.0,1000.9,69.0,2.7,5.4,9.4,38.583333333333336
30.7,37.0,26.0,1001.0,77.0,2.4,5.2,27.8,36.0
30.6,36.7,25.6,1000.6,78.0,2.7,6.3,14.8,70.58333333333333
31.3,36.5,24.6,999.5,79.0,2.4,5.0,18.3,52.458333333333336
33.3,38.0,27.4,997.6,69.0,2.3,7.8,22.2,45.583333333333336
28.7,37.8,25.0,998.2,81.0,2.4,7.2,16.5,33.166666666666664
28.6,32.0,26.2,996.7,86.0,2.1,7.6,14.8,38.25
28.7,32.5,25.4,997.6,88.0,1.9,8.9,16.5,26.58333333333333
30.1,34.0,25.8,999.5,81.0,2.3,11.7,18.3,57.583333333333336
31.9,36.0,28.2,1000.4,74.0,2.9,9.3,14.8,30.70833333333333
31.5,36.1,27.4,999.7,74.0,3.4,8.9,14.8,35.375
31.9,35.1,27.8,999.5,73.0,3.2,6.7,13.0,15.416666666666666
32.9,37.0,27.8,998.5,68.0,3.2,7.8,13.0,41.375
30.9,36.9,28.0,998.2,76.0,2.6,6.9,18.3,25.541666666666668
30.1,34.6,27.4,997.9,81.0,2.1,7.6,18.3,28.375
31.8,37.2,27.2,994.7,77.0,1.9,5.2,7.6,39.333333333333336
27.2,37.4,24.0,995.7,95.0,1.9,5.2,22.2,41.833333333333336
30.9,35.0,25.6,995.1,77.0,2.4,7.2,14.8,50.333333333333336
31.5,37.9,28.4,997.4,73.0,3.4,15.4,27.8,31.916666666666668
31.1,34.0,27.2,998.6,76.0,2.9,11.9,22.2,36.79166666666666
31.1,36.2,28.0,998.9,78.0,2.6,6.7,11.1,35.5
30.4,35.0,26.6,1000.9,81.0,2.9,8.5,18.3,35.291666666666664
30.5,35.5,25.6,1000.7,83.0,2.3,4.3,9.4,26.83333333333333
30.6,35.0,24.8,1000.5,78.0,2.9,10.0,24.1,21.125
29.9,34.8,26.6,998.5,79.0,2.7,10.7,18.3,18.0
26.9,32.5,25.2,999.1,91.0,2.4,11.1,18.3,28.041666666666668
27.3,30.0,24.8,1003.0,88.0,2.3,6.5,18.3,34.875
30.7,34.0,23.6,1003.7,70.0,2.7,6.1,14.8,35.708333333333336
31.4,35.0,25.6,1002.5,70.0,2.6,8.3,16.5,43.583333333333336
32.0,36.0,24.8,1002.1,69.0,2.9,8.1,18.3,46.04166666666666
30.4,36.1,24.5,1002.4,73.0,2.7,6.5,18.3,28.75
31.8,36.0,24.6,1002.0,68.0,2.9,6.5,16.5,70.54166666666667
31.1,36.2,27.8,1002.4,75.0,2.4,6.3,14.8,58.54166666666666
29.3,34.0,26.4,1003.3,81.0,2.1,6.7,14.8,82.875
32.9,36.4,27.4,1001.5,67.0,3.1,5.4,13.0,30.666666666666668
33.8,38.0,28.2,1002.9,65.0,3.2,7.2,13.0,31.75
33.6,38.1,29.2,1003.3,66.0,3.1,7.8,14.8,41.04166666666666
33.0,36.7,29.2,998.8,68.0,2.6,5.9,11.1,34.416666666666664
29.9,37.0,26.4,1001.5,76.0,2.6,8.0,18.3,33.166666666666664
32.7,36.4,27.1,1000.8,69.0,2.7,4.3,11.1,30.625
32.6,36.2,27.6,1000.0,75.0,2.3,5.9,11.1,31.75
31.7,37.0,28.2,998.8,73.0,1.9,6.5,9.4,11.625
29.9,37.2,27.2,1000.1,83.0,1.9,5.9,11.1,0.0
31.9,35.5,26.4,1001.0,74.0,2.1,3.9,9.4,0.0
32.2,36.0,28.3,999.5,70.0,1.9,3.9,11.1,0.0
32.4,36.6,27.6,999.4,70.0,1.9,1.5,5.4,0.0
33.6,37.5,28.2,1000.5,67.0,2.1,3.7,7.6,0.0
33.3,38.2,29.4,1002.9,71.0,2.4,8.0,22.2,26.166666666666668
32.0,35.0,28.8,1004.5,70.0,2.9,8.3,14.8,83.45833333333333
30.7,35.2,27.3,1003.8,78.0,2.3,5.4,10.7,71.66666666666667
32.3,36.0,27.1,1002.4,69.0,2.6,4.4,9.4,65.625
32.3,37.0,27.5,1003.9,64.0,2.6,6.3,14.8,53.375
30.9,36.8,26.2,1008.2,67.0,3.1,7.8,13.0,56.083333333333336
29.1,35.1,25.1,1009.5,75.0,2.7,7.8,14.8,69.70833333333333
30.8,35.0,24.9,1007.5,68.0,3.1,6.7,13.0,62.375
28.0,35.3,24.0,1007.2,81.0,2.3,5.4,14.8,24.875
27.2,35.2,23.7,1009.5,82.0,2.7,7.6,14.8,37.333333333333336
29.1,32.0,24.0,1010.7,71.0,2.4,4.1,7.6,50.125
29.4,34.0,23.9,1010.2,72.0,2.7,5.7,13.0,46.54166666666666
30.2,35.0,24.5,1011.6,68.0,2.9,7.2,13.0,43.958333333333336
28.5,34.0,25.4,1010.3,76.0,3.1,9.1,14.8,38.79166666666666
27.7,33.0,24.2,1009.5,77.0,2.9,8.7,14.8,76.91666666666667
27.4,31.2,23.8,1008.2,79.0,2.6,5.6,9.4,34.458333333333336
28.7,33.0,23.8,1008.3,74.0,2.9,6.7,11.1,30.33333333333333
28.8,34.4,21.4,1010.9,68.0,2.4,5.2,14.8,29.0
27.1,34.8,19.8,1009.5,73.0,2.7,7.8,13.0,34.25
27.3,33.0,21.0,1010.3,62.0,3.4,7.6,14.8,62.708333333333336
27.6,33.0,21.1,1011.0,63.0,3.1,5.9,11.1,65.08333333333333
27.7,32.9,22.4,1011.6,61.0,2.4,8.1,18.3,61.708333333333336
27.2,32.0,20.2,1011.5,58.0,3.5,6.7,14.8,60.54166666666666
27.5,34.0,20.3,1010.9,60.0,3.1,3.3,11.1,41.583333333333336
27.7,34.0,21.0,1010.0,59.0,2.7,3.3,7.6,50.91666666666666
27.9,33.9,20.3,1010.4,57.0,2.4,3.3,10.7,40.958333333333336
28.1,33.2,20.6,1011.7,63.0,2.3,3.3,9.4,60.66666666666666
27.8,33.2,20.8,1012.2,61.0,2.3,3.3,9.4,80.04166666666667
27.6,34.0,20.6,1012.6,63.0,2.3,3.7,9.4,82.83333333333333
28.6,34.8,21.2,1013.5,63.0,2.1,2.8,7.6,115.83333333333331
28.2,33.9,21.4,1013.0,63.0,2.1,3.7,9.4,149.66666666666666
28.5,34.2,21.2,1013.8,58.0,2.4,6.9,16.5,145.58333333333334
27.3,34.7,19.8,1014.6,60.0,2.3,3.7,7.6,126.16666666666669
26.0,32.6,19.0,1014.2,54.0,2.3,5.6,14.8,136.70833333333334
24.7,32.5,17.2,1011.8,58.0,2.3,7.2,18.3,160.66666666666666
25.3,32.0,16.5,1009.8,56.0,2.3,5.7,11.1,168.625
25.6,32.4,17.7,1011.0,60.0,1.9,2.8,7.6,174.66666666666666
25.2,32.1,18.2,1012.4,61.0,1.8,3.9,11.1,245.66666666666663
24.9,30.9,17.6,1013.1,65.0,1.9,1.9,5.4,261.6666666666667
25.1,31.4,17.4,1012.7,57.0,1.8,6.9,14.8,272.4166666666667
25.0,31.5,17.7,1013.5,57.0,1.6,4.6,11.1,226.29166666666663
24.1,30.2,18.4,1013.7,71.0,1.0,2.8,5.4,291.7083333333333
25.2,31.0,18.6,1012.3,64.0,1.0,3.3,9.4,207.33333333333331
24.7,32.0,16.8,1011.8,63.0,1.0,3.0,9.4,149.625
25.4,32.0,17.1,1011.9,66.0,0.6,1.7,5.4,99.70833333333331
24.5,31.7,18.8,1013.8,70.0,0.6,5.0,14.8,217.375
23.4,29.5,18.7,1014.6,74.0,0.6,7.8,14.8,309.375
24.1,29.4,18.9,1013.7,65.0,1.3,7.4,16.5,166.91666666666666
23.5,31.0,17.5,1010.3,60.0,1.8,10.2,22.2,429.1666666666667
23.4,32.2,15.2,1009.0,59.0,1.9,4.8,9.4,332.4583333333333
20.6,32.3,17.0,1011.0,80.0,1.0,5.6,13.0,321.5416666666667
21.9,30.0,15.6,1013.7,72.0,1.4,3.3,11.1,278.0
21.6,30.1,15.6,1013.9,63.0,1.6,5.4,11.1,192.33333333333331
20.5,29.8,14.5,1013.9,63.0,1.8,3.5,7.6,235.33333333333331
19.7,29.1,13.5,1013.1,64.0,0.8,2.4,7.6,153.29166666666666
17.9,29.5,11.7,1014.6,76.0,1.0,1.7,7.6,171.54166666666666
20.3,28.2,13.4,1016.0,71.0,0.6,0.9,3.5,224.16666666666663
20.2,28.3,15.4,1016.6,81.0,0.5,2.6,7.6,196.75
21.2,27.6,16.0,1015.3,75.0,0.5,1.5,5.4,221.54166666666663
22.2,29.2,15.4,1015.3,67.0,1.4,8.1,13.0,210.54166666666663
23.0,29.3,16.2,1015.1,59.0,2.1,7.8,14.8,251.20833333333331
18.5,29.0,15.3,1015.1,79.0,1.9,5.4,16.5,172.83333333333334
19.0,26.8,12.3,1014.2,71.0,1.9,4.1,11.1,166.70833333333334
19.1,28.2,11.4,1015.1,70.0,1.9,0.4,3.5,130.70833333333334
19.3,28.9,12.5,1016.9,72.0,1.3,0.7,5.4,194.70833333333331
19.7,28.6,11.8,1016.7,70.0,1.9,2.4,5.4,250.875
20.4,27.7,14.7,1016.0,72.0,1.9,7.6,13.0,274.875
20.7,26.8,15.3,1015.5,73.0,2.1,5.2,7.6,207.91666666666663
20.0,26.8,13.7,1016.2,74.0,1.4,1.1,5.4,134.45833333333334
20.7,27.2,16.2,1015.5,70.0,1.9,4.3,9.4,110.0
20.4,27.9,14.5,1015.5,76.0,1.4,5.6,9.4,160.0
18.3,27.4,16.2,1016.8,84.0,1.9,9.3,18.3,217.91666666666663
18.1,24.6,12.5,1017.1,83.0,2.3,4.8,7.6,184.20833333333331
15.8,24.9,11.7,1017.5,90.0,1.6,5.9,14.8,130.91666666666666
15.7,23.2,9.4,1017.3,78.0,1.6,4.1,11.1,118.91666666666669
15.4,23.4,8.0,1017.8,72.0,1.8,5.6,14.8,176.375
15.4,24.3,9.1,1017.3,66.0,1.8,5.7,16.5,185.95833333333331
14.6,24.4,7.9,1019.7,72.0,1.8,2.0,7.6,195.375
14.4,24.0,7.6,1021.5,78.0,0.6,1.5,7.6,151.04166666666666
15.9,24.0,8.4,1020.3,81.0,0.8,1.9,7.6,170.875
15.1,24.2,9.3,1019.1,85.0,1.3,0.6,25.9,239.125
15.3,24.8,8.7,1019.0,78.0,1.0,1.5,7.6,365.2916666666667
14.8,23.8,7.7,1018.3,76.0,1.1,1.9,7.6,312.2083333333333
16.8,23.5,7.4,1015.4,67.0,1.1,4.3,11.1,237.625
15.8,22.8,7.9,1014.0,80.0,0.8,1.9,3.5,179.33333333333334
16.4,23.2,12.8,1013.0,85.0,0.8,8.5,13.0,122.54166666666669
15.2,21.5,12.4,1014.4,94.0,1.0,7.2,11.1,121.33333333333331
14.7,18.7,9.7,1020.3,88.0,1.4,3.0,5.4,202.875
14.2,19.2,9.8,1020.0,87.0,1.3,6.5,11.1,260.1666666666667
11.4,19.8,10.2,1021.0,95.0,1.3,7.8,11.1,403.9583333333333
10.6,12.9,8.2,1021.7,90.0,1.3,5.7,13.0,455.5833333333333
12.2,18.0,7.0,1020.5,81.0,1.0,3.9,7.6,382.7083333333333
10.3,18.0,5.2,1018.8,94.0,0.3,3.1,7.6,277.7083333333333
12.1,17.4,6.4,1016.8,91.0,0.3,5.7,11.1,284.1666666666667
12.6,17.5,8.8,1017.9,90.0,0.6,5.7,9.4,288.4166666666667
11.3,18.0,7.4,1019.0,92.0,0.8,7.8,14.8,256.8333333333333
9.6,14.6,6.6,1018.6,91.0,0.6,3.7,74.1,175.75
11.4,15.6,5.7,1020.1,85.0,0.3,4.4,5.4,180.79166666666663
8.4,17.2,6.0,1019.4,93.0,0.8,8.1,11.1,166.91666666666666
8.8,13.0,5.4,1018.6,85.0,0.6,4.6,7.6,169.0
8.6,13.6,4.2,1019.6,83.0,0.6,3.3,7.6,186.04166666666663
7.1,14.4,2.4,1020.8,92.0,0.5,2.4,5.4,185.58333333333331
8.8,15.5,3.4,1020.4,85.0,0.6,3.3,5.4,114.08333333333331
6.9,15.8,2.6,1020.4,99.0,0.2,5.4,11.1,140.45833333333334
8.1,14.7,4.8,1021.0,84.0,1.0,4.8,9.4,nan
10.8,20.2,2.4,1022.1,84.0,0.6,3.1,13.0,255.875
13.7,22.0,4.6,1020.9,80.0,0.8,2.0,7.6,217.08333333333331
14.4,23.0,7.6,1018.5,82.0,1.3,2.0,7.6,229.16666666666663
13.6,23.5,8.0,1017.8,81.0,0.8,4.6,11.1,392.2083333333333
14.2,21.6,7.0,1018.7,77.0,1.6,6.3,14.8,536.5
15.2,21.2,9.9,1019.3,78.0,1.1,3.5,5.4,321.8333333333333
15.0,19.1,11.6,1016.2,88.0,1.3,5.4,7.6,298.4583333333333
13.2,19.0,11.0,1015.3,99.0,0.6,5.0,7.6,264.9166666666667
10.4,14.6,7.8,1020.8,89.0,0.8,6.3,9.4,404.5
10.7,17.4,5.3,1020.4,82.0,0.8,5.7,14.8,442.6666666666667
12.0,19.9,5.8,1020.0,75.0,1.0,4.1,9.4,220.95833333333331
13.6,22.2,7.1,1015.7,74.0,1.6,4.4,11.1,251.375
14.2,23.4,8.0,1012.5,85.0,1.0,7.8,13.0,188.5
12.6,19.9,8.6,1016.3,89.0,1.0,4.3,9.4,164.75
13.7,19.8,6.4,1016.3,80.0,1.0,4.4,9.4,376.9166666666667
13.2,19.9,9.5,1016.0,95.0,0.8,5.0,7.6,362.0
13.2,17.4,10.4,1017.3,92.0,0.6,4.8,11.1,235.625
12.3,17.7,8.4,1019.0,90.0,0.6,4.4,5.4,0.0
11.0,17.7,7.0,1019.8,87.0,1.0,9.8,16.5,0.0
11.9,16.7,8.3,1018.5,89.0,0.6,5.2,11.1,0.0
